timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600081618656,564,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-18,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,564,0,0
1600081619220,840,Choose room from some hotel-1,200,OK,Thread Group 1 1-18,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,840,0,0
1600081618673,1399,Visit homepage,200,OK,Thread Group 1 1-21,text,true,,9008,234,55,55,https://xceltrip.com.np/,562,0,0
1600081618673,562,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-21,text,true,,432,117,55,55,http://xceltrip.com.np/,562,0,0
1600081619235,837,Visit homepage-1,200,OK,Thread Group 1 1-21,text,true,,8576,117,55,55,https://xceltrip.com.np/,837,0,0
1600081618666,1415,Explore pokhara package,200,OK,Thread Group 1 1-16,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",570,0,0
1600081618666,570,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-16,text,true,,557,242,55,55,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",570,0,0
1600081619236,845,Explore pokhara package-1,200,OK,Thread Group 1 1-16,text,true,,8576,242,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",844,0,0
1600081618677,1410,Visit homepage,200,OK,Thread Group 1 1-50,text,true,,9008,234,55,55,https://xceltrip.com.np/,559,0,0
1600081618677,559,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-50,text,true,,432,117,55,55,http://xceltrip.com.np/,559,0,0
1600081619236,851,Visit homepage-1,200,OK,Thread Group 1 1-50,text,true,,8576,117,55,55,https://xceltrip.com.np/,847,0,0
1600081618679,1440,Visit homepage,200,OK,Thread Group 1 1-40,text,true,,9008,234,55,55,https://xceltrip.com.np/,610,0,0
1600081618679,610,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-40,text,true,,432,117,55,55,http://xceltrip.com.np/,610,0,0
1600081619289,830,Visit homepage-1,200,OK,Thread Group 1 1-40,text,true,,8576,117,55,55,https://xceltrip.com.np/,829,0,0
1600081618731,1404,Explore pokhara package,200,OK,Thread Group 1 1-20,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",668,0,0
1600081618731,668,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-20,text,true,,557,242,55,55,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",668,0,0
1600081619399,736,Explore pokhara package-1,200,OK,Thread Group 1 1-20,text,true,,8576,242,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",735,0,0
1600081618729,1422,Visit homepage,200,OK,Thread Group 1 1-9,text,true,,9008,234,55,55,https://xceltrip.com.np/,669,0,0
